CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,Geography,Gender,HasCrCard,IsActiveMember
484,36,8,0.0,2,186136.48,Spain,Male,1,0
656,40,10,167878.5,1,151887.16,Spain,Female,0,1
629,40,9,0.0,1,106.67,France,Male,1,0
596,54,1,123544.0,1,120314.75,Germany,Male,1,1
791,33,3,0.0,1,144413.92,France,Female,1,1
715,21,8,0.0,2,68666.63,France,Male,1,0
545,37,9,110483.86,1,127394.67,Germany,Male,1,1
773,25,1,124532.78,2,11723.57,France,Male,0,1
696,47,1,106758.6,1,80591.18,Spain,Male,1,1
602,34,8,98382.72,1,39542.0,Spain,Male,1,0
850,48,2,0.0,1,169425.3,Spain,Male,1,0
728,38,1,115934.74,1,139059.05,France,Male,1,1
694,58,1,143212.22,1,102628.56,Germany,Female,0,0
588,46,8,0.0,1,61931.21,Spain,Male,1,0
597,43,7,119127.46,2,55809.92,Germany,Female,1,0
676,36,1,82729.49,1,113810.12,Spain,Male,1,0
634,35,10,0.0,1,82634.41,Spain,Female,1,0
826,56,8,174506.1,2,161802.82,Spain,Female,0,1
505,26,8,112972.57,1,145011.62,France,Male,1,0
625,69,1,107569.96,1,182336.45,Spain,Female,1,1
706,68,4,114386.85,1,28601.68,Spain,Male,1,1
577,43,3,127940.47,1,125140.72,Germany,Female,0,0
663,33,8,122528.18,1,196260.3,Spain,Female,1,0
696,43,4,0.0,2,66406.37,Spain,Female,1,1
667,33,4,0.0,2,131834.75,France,Male,1,1
622,35,5,0.0,2,51112.8,France,Female,1,0
693,25,6,146580.69,1,14633.35,Germany,Male,0,1
498,61,7,102453.26,1,187247.56,Germany,Male,1,0
800,38,9,0.0,1,78744.39,Spain,Male,1,0
577,46,1,0.0,1,158750.53,France,Female,1,1
651,35,2,86911.8,1,174094.24,France,Male,1,0
678,38,3,0.0,2,66561.6,France,Male,1,0
545,26,7,0.0,2,156598.23,France,Male,0,1
693,43,1,121927.92,1,87994.95,Germany,Female,1,0
590,31,8,112211.61,1,26261.42,France,Male,1,0
697,32,7,175464.85,3,116442.42,France,Male,1,0
506,50,3,0.0,2,12016.79,Spain,Male,1,0
621,36,7,116338.68,1,155743.48,Spain,Female,1,1
849,41,6,0.0,2,169203.51,France,Female,1,1
666,51,2,148222.65,1,156953.54,France,Male,0,0
785,47,9,122031.55,1,33823.5,France,Female,1,1
614,36,1,44054.84,1,73329.08,Spain,Female,1,1
493,31,3,0.0,1,176570.28,France,Female,1,1
586,38,6,0.0,2,37935.83,France,Female,1,1
590,60,6,147751.75,1,88206.04,France,Female,1,0
512,41,6,0.0,1,100507.81,France,Female,1,1
598,27,10,171283.91,1,84136.12,Germany,Female,1,1
791,35,5,129828.58,1,181918.26,Germany,Male,1,1
666,44,2,122314.5,1,68574.88,Germany,Female,0,0
582,43,5,153313.67,1,170563.73,France,Female,0,0
418,46,9,0.0,1,81014.5,France,Female,1,1
650,31,1,160566.11,2,27073.81,France,Female,0,0
673,32,0,0.0,1,72873.33,Spain,Female,1,1
736,54,7,111729.47,2,84920.49,France,Male,0,1
550,46,7,0.0,2,130590.35,France,Female,1,0
662,26,0,0.0,2,72929.96,France,Male,0,1
545,32,4,0.0,1,94739.2,Spain,Female,1,0
726,34,0,185734.75,1,102036.82,France,Female,1,1
468,32,8,137649.47,1,198714.29,France,Female,0,0
794,30,8,0.0,2,24113.91,France,Male,1,1
523,41,0,119276.31,1,122284.38,Germany,Male,0,0
452,52,1,98443.14,2,92033.98,Germany,Male,0,0
629,39,5,0.0,2,116748.14,Spain,Male,0,0
576,39,9,84719.98,1,191063.36,France,Male,0,0
655,20,7,134397.61,1,28029.54,France,Female,0,0
701,33,7,123870.07,1,97794.71,Spain,Female,1,0
632,41,3,126550.7,1,177644.52,Germany,Male,0,0
582,29,0,0.0,1,84012.81,France,Female,1,1
673,35,6,0.0,2,98618.79,Spain,Female,1,0
711,25,7,0.0,3,9679.28,France,Female,1,1
737,31,5,121192.22,2,74890.58,Germany,Male,1,1
648,51,2,116574.84,1,4121.04,Germany,Female,1,0
602,59,7,0.0,2,162347.05,France,Male,1,1
518,29,9,125961.74,2,160303.08,Germany,Male,1,0
655,26,7,106198.5,1,32020.42,France,Female,0,1
714,52,2,0.0,1,144045.08,France,Female,0,1
564,30,0,100954.88,2,134175.15,Germany,Female,0,0
644,37,2,186347.97,2,92809.73,France,Male,1,0
688,35,5,111578.18,1,166165.93,Germany,Male,0,0
554,31,1,0.0,2,192660.55,France,Male,0,1
446,45,10,125191.69,1,128260.86,Spain,Female,1,1
580,35,10,136281.41,2,24799.47,Germany,Male,1,1
650,26,4,214346.96,2,128815.33,Germany,Male,1,0
697,40,7,130334.35,2,116951.1,Spain,Female,0,1
584,42,3,137479.13,1,25669.1,Germany,Male,1,0
647,35,3,166518.63,2,147930.46,Germany,Female,1,0
579,27,9,0.0,2,126838.7,France,Female,1,0
707,33,2,0.0,2,130866.95,France,Male,0,0
528,35,3,156687.1,1,199320.77,France,Male,1,0
527,39,4,0.0,2,167183.07,France,Male,1,0
569,34,3,0.0,1,133997.53,Spain,Female,1,0
743,43,2,161807.18,2,93228.86,Spain,Male,0,1
617,26,2,165947.99,2,168834.38,France,Female,0,1
567,48,3,0.0,1,55362.45,France,Female,1,0
704,37,9,155619.58,1,135088.58,Spain,Female,1,1
850,35,3,162442.35,1,183566.78,France,Male,1,0
764,24,7,0.0,2,186105.99,France,Female,1,0
709,37,7,0.0,1,159486.76,France,Male,1,0
758,51,8,81710.46,1,116520.07,France,Male,1,1
640,38,9,0.0,2,88827.67,France,Male,1,0
660,36,0,84438.57,1,181449.51,Spain,Female,1,1
683,39,2,47685.47,2,86019.48,Germany,Female,1,1
613,40,1,147856.82,3,107961.11,Germany,Male,0,0
500,56,1,100374.58,1,118490.8,France,Male,1,0
685,38,4,0.0,2,35884.91,Spain,Male,1,1
794,33,8,0.0,2,91340.02,Spain,Male,0,0
500,37,9,125822.21,1,111698.0,Spain,Male,1,0
747,40,3,0.0,1,57817.84,France,Female,0,0
697,34,2,126558.92,1,73334.43,France,Female,1,0
844,18,2,160980.03,1,145936.28,France,Male,0,0
659,38,9,0.0,2,35701.06,Spain,Female,1,1
515,35,10,176273.95,1,121277.78,Spain,Male,0,1
639,27,8,133806.54,2,6251.3,Spain,Female,1,0
756,26,5,155143.52,1,135034.57,Germany,Female,0,1
675,54,6,0.0,1,110273.84,France,Male,1,0
622,35,8,0.0,2,131772.51,France,Male,1,1
684,41,1,134177.06,1,177506.66,Spain,Female,0,0
749,26,6,0.0,2,34948.77,France,Female,0,1
642,40,1,154863.15,1,138052.51,France,Male,1,1
717,35,7,58469.37,2,172459.39,Germany,Male,1,1
666,71,1,53013.29,2,112222.64,Germany,Male,1,1
583,27,1,125406.58,1,110784.42,France,Female,1,1
684,33,4,140700.61,1,103557.93,France,Male,1,0
743,36,8,92716.96,1,33693.78,Spain,Female,1,1
551,32,4,0.0,2,53420.53,Spain,Male,1,0
566,44,5,0.0,2,66462.79,Spain,Male,1,0
596,47,5,140187.1,2,174311.3,Germany,Male,1,1
585,30,6,0.0,2,137757.69,France,Female,1,1
555,46,4,120392.99,1,177719.88,Germany,Female,1,0
646,46,1,170826.55,2,45041.32,Germany,Male,1,0
591,58,5,128468.69,1,137254.55,Spain,Male,0,1
724,28,5,0.0,1,59351.68,France,Female,1,0
570,43,9,0.0,2,11417.26,France,Female,0,1
539,20,0,83459.86,1,146752.67,France,Male,1,1
623,48,5,118469.38,1,158590.25,France,Male,1,1
614,27,9,106414.57,2,77500.81,France,Female,0,0
811,44,3,0.0,2,78439.73,Spain,Male,0,1
747,21,4,81025.6,2,167682.57,France,Female,1,0
695,29,5,0.0,2,6770.44,France,Male,1,1
625,51,4,124620.01,2,92243.94,France,Female,1,0
448,25,2,0.0,2,95215.73,Spain,Male,0,0
594,35,2,0.0,2,103480.69,France,Male,1,0
639,37,5,98186.7,1,173386.95,France,Male,0,1
579,38,8,0.0,2,91763.67,France,Male,0,0
727,39,5,80615.46,2,180962.32,Germany,Male,0,0
607,39,10,0.0,3,132741.13,France,Female,1,0
449,31,1,113693.0,1,82796.29,Spain,Female,0,0
445,34,7,131082.17,2,70618.0,Germany,Female,1,1
550,48,6,0.0,2,191870.28,France,Female,1,1
714,34,5,0.0,2,193040.32,Spain,Male,1,0
561,56,7,152759.0,2,133167.11,France,Male,1,0
627,30,6,57809.32,1,188258.49,Germany,Female,1,0
653,47,6,0.0,1,50695.93,France,Male,1,0
718,28,6,0.0,2,146875.86,Spain,Male,1,0
679,33,1,0.0,2,69608.48,France,Female,0,0
723,42,2,99095.73,1,17512.53,France,Male,1,1
676,27,4,0.0,1,107955.67,Spain,Male,0,1
470,31,4,55732.92,2,103792.53,Spain,Male,1,1
762,53,1,102520.37,1,170195.4,France,Male,1,1
774,41,5,126670.37,1,102426.06,France,Female,1,0
549,29,3,0.0,2,146090.38,France,Male,1,0
740,33,1,129574.98,1,123300.38,France,Male,1,1
626,38,7,141074.59,1,52795.56,France,Male,1,0
790,31,9,0.0,2,84126.75,France,Female,1,0
713,24,7,147687.24,1,121592.5,Germany,Female,1,1
553,38,1,181110.13,2,184544.59,Spain,Male,1,0
594,38,4,0.0,2,186884.04,France,Male,0,0
758,34,1,154139.45,1,60728.89,France,Female,1,1
640,33,8,81677.22,2,34925.56,Germany,Male,0,0
574,34,5,0.0,2,28269.86,Spain,Male,0,0
532,38,9,0.0,2,30583.95,France,Male,0,0
593,45,4,138825.19,1,10828.78,France,Male,0,0
652,38,1,103895.31,1,159649.44,Spain,Female,0,1
542,39,4,109949.39,2,41268.65,France,Female,1,1
651,63,8,129968.67,1,11830.53,Spain,Female,1,1
711,38,4,123345.85,1,141827.83,France,Male,1,0
537,30,1,103138.17,1,96555.42,Spain,Male,1,1
704,36,7,120026.98,2,100601.73,France,Male,0,1
513,40,3,141004.46,1,105028.46,France,Male,1,0
850,71,4,0.0,2,107236.87,France,Female,1,1
712,27,8,113174.21,2,147261.58,Germany,Male,1,0
598,38,6,0.0,2,173783.38,Spain,Female,0,0
704,48,8,167997.6,1,173498.45,Spain,Male,1,1
578,40,7,0.0,2,102233.73,France,Female,0,0
676,28,1,69459.05,2,128461.29,Germany,Male,1,1
605,36,9,0.0,2,35521.63,Spain,Female,0,1
565,38,0,122447.76,1,67339.34,Spain,Male,0,0
639,50,6,115335.32,2,53130.41,France,Female,1,1
630,50,3,129370.91,4,47775.34,Germany,Male,1,1
781,32,6,147107.91,1,40066.95,France,Male,1,1
746,37,2,0.0,2,143194.05,France,Male,1,0
497,24,6,111769.14,2,55859.27,Germany,Male,1,0
571,33,9,0.0,2,77519.62,France,Female,0,1
781,48,0,57098.96,1,85644.06,France,Female,1,0
490,35,7,107749.03,1,3937.37,France,Female,1,1
639,28,8,0.0,2,126561.07,Spain,Male,1,0
662,39,5,138106.75,1,19596.73,France,Female,0,0
658,40,7,140596.95,1,135459.02,France,Female,0,1
651,34,2,90355.12,2,193597.94,Germany,Male,0,0
604,23,9,124577.33,1,7267.25,Spain,Male,1,1
605,43,8,125338.8,2,23970.13,Germany,Female,1,0
842,58,1,63492.94,1,83172.19,France,Male,1,1
605,32,9,0.0,2,55724.24,France,Male,1,1
560,30,0,108883.29,1,27914.95,France,Female,1,0
805,33,3,105663.56,2,33330.89,Germany,Female,0,1
652,36,1,0.0,2,151314.98,France,Male,1,1
642,39,4,0.0,1,76821.24,France,Female,1,1
623,35,0,130557.24,1,47880.71,France,Female,1,1
633,60,8,69365.25,1,10288.24,France,Female,1,1
735,50,9,0.0,1,166677.35,Spain,Male,0,0
659,43,1,106086.42,2,26900.63,France,Male,1,0
617,44,9,49157.09,2,53294.17,Germany,Male,1,0
821,45,0,135827.33,2,131778.58,Germany,Male,1,1
784,38,10,122267.85,1,145759.93,Spain,Male,0,0
639,35,5,136526.26,2,59653.03,Spain,Female,1,0
752,36,1,86837.95,1,105280.55,France,Female,1,1
732,43,6,0.0,2,65731.53,France,Female,1,0
563,32,6,0.0,2,19720.08,Spain,Male,1,1
560,49,4,0.0,1,100075.1,France,Male,1,1
637,36,9,166939.88,1,72504.76,France,Female,1,1
835,18,2,142872.36,1,117632.63,Germany,Male,1,1
753,92,3,121513.31,1,195563.99,France,Male,0,1
705,31,9,110941.93,2,163484.8,Germany,Female,1,0
726,24,6,0.0,2,54724.03,France,Female,1,1
707,33,8,136678.52,1,54290.62,France,Male,1,0
712,38,7,132767.66,2,59115.77,Germany,Male,1,1
781,38,2,117810.79,1,65632.33,France,Male,0,1
633,47,0,0.0,1,6342.84,France,Female,1,1
646,42,3,99836.47,1,22909.56,Spain,Female,0,1
686,41,4,129553.76,2,187599.8,France,Female,1,0
492,39,7,0.0,2,71323.23,France,Male,0,1
759,26,4,0.0,2,135394.62,France,Male,1,0
490,41,0,139659.04,1,176254.12,Germany,Female,1,1
770,37,5,141547.26,2,180326.83,Germany,Male,0,1
822,38,6,128289.7,3,9149.96,France,Male,1,0
600,27,6,0.0,2,172031.22,Spain,Female,1,1
697,27,8,141223.68,2,90591.15,France,Male,1,0
740,39,9,0.0,2,19047.23,France,Male,1,0
590,37,1,0.0,2,133535.99,Spain,Male,0,0
778,31,9,182275.23,2,190631.23,Germany,Male,1,0
738,35,3,0.0,1,15650.73,Spain,Male,1,1
708,32,3,151691.44,2,172810.51,Germany,Male,1,1
660,19,5,127649.64,1,40368.65,France,Male,1,1
592,38,8,119278.01,2,19370.73,France,Female,0,1
503,30,10,136622.55,2,47310.24,Germany,Male,0,0
739,42,2,141642.92,2,172149.76,France,Male,1,0
663,42,7,115930.87,1,19862.78,Germany,Male,1,0
747,47,5,139914.6,4,129964.56,France,Female,0,1
678,22,6,118064.93,2,195424.01,France,Female,1,1
712,52,9,0.0,1,117977.45,Spain,Male,1,1
642,35,2,133161.95,1,122254.86,France,Male,0,1
611,27,7,0.0,2,157474.1,France,Male,1,1
496,29,4,0.0,2,164806.89,France,Female,1,0
539,38,6,0.0,1,152880.07,Spain,Male,1,1
589,36,9,140355.56,2,136329.96,Germany,Female,1,0
585,36,5,146050.97,2,86424.57,Germany,Male,0,0
628,50,4,143054.56,1,109608.81,France,Female,0,1
646,57,6,90212.0,1,13911.27,Germany,Female,1,0
726,33,7,99046.31,2,56053.06,Germany,Female,1,1
675,32,10,0.0,2,191545.65,Spain,Male,1,0
652,40,8,84390.8,2,107876.2,France,Female,0,1
562,31,2,112708.2,1,186370.3,Germany,Male,0,1
518,41,5,110624.99,1,89327.67,Germany,Female,1,0
697,29,0,172693.54,1,141798.98,Germany,Male,0,0
780,34,5,94108.54,2,177235.21,Germany,Male,1,0
667,48,2,0.0,1,43229.2,France,Male,1,0
507,31,9,111589.67,1,150037.19,Germany,Male,1,0
507,41,3,58820.32,2,138536.09,France,Male,1,1
623,40,6,0.0,2,66119.07,France,Male,1,1
667,37,9,71786.9,2,67734.79,France,Female,1,1
571,25,6,82506.72,2,167705.07,Germany,Male,1,0
600,36,4,0.0,2,143635.36,Spain,Male,1,0
634,44,9,149961.11,1,57121.51,France,Male,1,0
604,26,8,149542.52,2,197911.52,France,Male,0,1
619,38,3,0.0,2,116467.35,France,Female,0,1
601,40,10,127847.86,1,173245.68,France,Male,0,0
679,40,7,0.0,2,163757.29,Spain,Female,1,1
724,30,10,0.0,2,54265.55,France,Male,1,1
778,29,7,123229.46,1,181221.09,Germany,Female,1,0
709,49,4,154344.49,2,38794.57,France,Male,1,1
730,42,4,0.0,2,85982.47,Spain,Male,0,1
732,38,5,178787.54,1,195760.53,Germany,Male,1,1
497,41,5,80542.81,1,88729.22,Germany,Male,0,0
683,73,8,137732.23,2,133210.44,France,Female,1,1
598,39,1,0.0,2,159130.32,Spain,Male,1,0
512,33,6,121685.31,2,83681.97,France,Female,1,1
609,37,5,129312.79,1,26793.82,Spain,Male,1,1
850,29,7,0.0,2,23237.25,Spain,Female,1,0
753,30,1,110824.52,1,57896.27,Germany,Male,1,1
617,35,2,104508.1,1,147636.46,France,Female,1,1
631,26,1,149144.61,1,123697.95,France,Male,0,1
850,38,3,0.0,2,179360.76,Spain,Female,0,1
759,31,1,109848.6,1,42012.55,France,Female,1,1
671,31,4,0.0,2,79270.02,Spain,Female,0,1
653,30,2,88243.29,2,96658.26,Spain,Female,1,1
721,55,3,44020.89,1,65864.4,France,Female,1,0
599,46,9,123444.72,1,31368.08,Germany,Male,1,1
656,48,9,0.0,2,85240.61,France,Female,1,1
620,35,0,76989.97,1,17242.79,Germany,Male,1,1
799,30,9,0.0,2,136827.96,France,Female,1,0
580,39,9,128362.59,1,86044.98,France,Female,1,0
598,32,9,123938.6,2,198894.42,Germany,Male,1,0
614,41,8,121558.46,1,598.8,France,Female,1,1
529,44,1,0.0,2,14161.3,Spain,Female,0,0
543,36,6,0.0,2,176728.28,France,Male,1,0
607,32,9,144272.07,2,176580.63,Germany,Male,1,0
534,52,1,0.0,3,104035.41,France,Male,1,1
684,41,6,135203.81,2,121967.88,France,Female,1,1
637,38,3,104339.56,1,119882.86,France,Female,0,0
605,32,5,0.0,2,42135.28,France,Female,1,1
596,48,2,131326.47,1,1140.02,Germany,Male,0,0
678,44,2,98009.13,2,31384.86,Germany,Female,0,1
577,39,10,0.0,2,10553.31,France,Female,1,0
550,22,7,139096.85,1,129890.94,France,Female,1,0
555,55,4,146798.81,1,74149.77,France,Male,1,1
644,18,7,0.0,1,59645.24,Spain,Male,0,1
572,43,2,140431.98,1,26450.57,France,Male,1,0
726,48,4,0.0,1,114020.06,France,Female,1,0
613,38,9,67111.65,1,78566.64,Germany,Male,1,0
676,23,1,107787.47,1,116378.82,France,Male,0,1
680,34,9,0.0,2,95686.6,France,Male,1,1
644,40,10,139180.97,1,19959.67,France,Female,1,1
741,39,7,143637.58,2,174227.66,Spain,Male,0,1
593,29,5,101713.84,3,134594.99,Germany,Female,1,0
481,37,8,0.0,2,44215.86,Spain,Female,1,0
615,42,4,0.0,3,120321.09,Spain,Male,0,1
654,35,2,90865.8,1,86764.46,France,Female,1,1
554,39,2,129709.62,1,173197.12,France,Male,1,0
850,31,4,0.0,2,33082.81,France,Female,1,1
850,28,8,99986.98,1,196582.55,France,Male,1,0
631,48,1,106396.48,1,150661.42,Germany,Male,1,1
638,44,9,77637.35,2,111346.22,Spain,Male,1,1
635,35,2,113635.16,1,90883.12,Spain,Male,1,0
545,39,6,0.0,1,38410.74,Spain,Female,0,0
714,39,3,149887.49,2,63846.36,Germany,Male,1,0
678,40,8,128644.46,1,167673.37,Germany,Female,0,0
551,76,2,128410.71,2,181718.73,Spain,Male,1,1
694,34,5,127900.03,1,101737.8,France,Male,1,0
757,43,5,131433.33,2,3497.43,Germany,Female,1,1
627,28,5,71097.23,1,130504.49,Germany,Male,1,1
730,43,1,103960.38,1,193650.16,Spain,Female,1,1
710,47,5,158623.14,1,83499.89,France,Male,0,0
531,53,5,127642.44,1,141501.45,France,Female,1,0
774,42,2,132193.94,2,162865.52,Germany,Male,1,1
732,67,1,0.0,2,177783.04,Spain,Female,1,1
692,43,10,118588.83,1,161241.65,Germany,Female,1,1
749,34,2,0.0,1,174189.04,Spain,Male,0,0
608,48,2,127924.25,2,32202.61,Germany,Female,1,0
607,45,7,123859.6,1,113051.57,France,Male,0,1
588,32,3,109109.33,1,4993.94,Spain,Male,0,1
653,51,3,0.0,1,170426.65,France,Male,1,0
700,27,6,137963.07,1,8996.79,France,Female,0,0
523,35,8,138782.76,1,186118.93,Germany,Male,1,1
722,32,5,106807.64,1,76998.69,Germany,Female,1,1
752,36,3,0.0,2,48505.1,Spain,Female,1,1
718,31,1,152663.77,1,17128.64,France,Female,0,1
657,33,1,84309.57,2,103914.4,France,Male,0,0
674,41,4,126605.14,1,166694.93,Spain,Female,1,1
483,27,1,77805.66,1,2101.89,France,Male,1,1
670,20,4,0.0,2,119759.24,Spain,Female,1,0
753,38,1,117314.92,1,122021.33,Germany,Female,1,0
582,29,0,0.0,1,142516.35,France,Male,1,0
667,36,3,121542.57,2,186841.71,Spain,Female,1,1
535,50,1,140292.58,3,69531.22,Spain,Female,0,0
698,39,9,133191.19,2,53289.49,Germany,Male,0,1
651,32,8,144581.96,1,87609.5,France,Female,1,1
681,31,4,97338.19,2,48226.76,Germany,Male,0,0
